ProcessId,Image,ParentProcessId,CommandLine,UtcTime
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.499
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.514
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.514
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.514
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.537
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.568
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.568
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.599
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.615
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.615
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.615
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.652
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.652
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.684
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.684
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.668
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.684
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.699
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.699
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.699
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.715
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.737
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.737
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.737
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.753
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.753
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.753
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.769
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.784
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.800
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.800
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.800
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.800
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.800
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.815
8464,C:\Program Files\PowerShell\7\pwsh.exe,-,-,2024-01-16 15:30:14.837
